eiendom,adresse,bydel,eier,bruksnavn,areal,kommune
0301-50/9/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke målt,,
0301-51/3/0/0,,,Eiendoms- og byfornyelsesetaten,Skogheim,1722.2,
0301-51/4/0/0,,,Eiendoms- og byfornyelsesetaten,Nordli,330.6,
0301-51/6/0/0,,,Eiendoms- og byfornyelsesetaten,,959.4,
0301-52/10/0/0,,,Eiendoms- og byfornyelsesetaten,Flere teiger,585314.7,
0301-52/1038/0/0,,,Eiendoms- og byfornyelsesetaten,"Veigrunn, kun registrert i GAB",212.4,
0301-52/1039/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,131.8,
0301-52/1040/0/0,,,Eiendoms- og byfornyelsesetaten,"Ikke tinglyst veigrunn, se merkn.",2878.1,
0301-52/1043/0/0,,,Eiendoms- og byfornyelsesetaten,,100.2,
0301-52/1044/0/0,,,Eiendoms- og byfornyelsesetaten,,99.0,
0301-52/1061/0/0,,,Eiendoms- og byfornyelsesetaten,,116.2,
0301-52/11/0/0,,,Eiendoms- og byfornyelsesetaten,,13279.3,
0301-52/1111/0/0,,,Eiendoms- og byfornyelsesetaten,,181.5,
0301-52/1113/0/0,,,Eiendoms- og byfornyelsesetaten,,799.3,
0301-52/1119/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,147.7,
0301-52/1123/0/0,,,Eiendoms- og byfornyelsesetaten,,76.2,
0301-52/1125/0/0,,,Eiendoms- og byfornyelsesetaten,Veigrunn,246.3,
0301-52/1142/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,2047.7,
0301-52/1152/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,3578.1,
0301-52/1158/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,78.4,
0301-52/1159/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,180.4,
0301-52/1171/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,1014.0,
0301-52/1172/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,2375.9,
0301-52/1173/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,427.1,
0301-52/1174/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,676.9,
0301-52/1176/0/0,,,Eiendoms- og byfornyelsesetaten,Friområde,376.5,
0301-52/1177/0/0,,,Eiendoms- og byfornyelsesetaten,Friområde,1126.9,
0301-52/1178/0/0,,,Eiendoms- og byfornyelsesetaten,Veigr. Kun rege. i GAB,245.4,
0301-52/1180/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,78.8,
0301-52/1181/0/0,,,Eiendoms- og byfornyelsesetaten,"Veigrunn, kun registrert i GAB",9244.2,
0301-52/1182/0/0,,,Eiendoms- og byfornyelsesetaten,,569.1,
0301-52/1184/0/0,,,Eiendoms- og byfornyelsesetaten,,10389.5,
0301-52/1185/0/0,,,Eiendoms- og byfornyelsesetaten,,34584.7,
0301-52/1186/0/0,,,Eiendoms- og byfornyelsesetaten,,1598.9,
0301-52/1187/0/0,,,Eiendoms- og byfornyelsesetaten,,143.9,
0301-52/1188/0/0,,,Eiendoms- og byfornyelsesetaten,,2155.8,
0301-52/1191/0/0,,,Eiendoms- og byfornyelsesetaten,,1200.2,
0301-52/1194/0/0,,,Eiendoms- og byfornyelsesetaten,,1532.8,
0301-52/1195/0/0,,,Eiendoms- og byfornyelsesetaten,,817.1,
0301-52/1202/0/0,,,Eiendoms- og byfornyelsesetaten,,145.8,
0301-52/211/0/0,,,Eiendoms- og byfornyelsesetaten,,1256.8,
0301-52/55/0/0,,,Eiendoms- og byfornyelsesetaten,,2877.9,
0301-52/566/0/0,,,Eiendoms- og byfornyelsesetaten,,1512.7,
0301-52/591/0/0,,,Eiendoms- og byfornyelsesetaten,,284.0,
0301-52/6/0/0,,,Eiendoms- og byfornyelsesetaten,,1567.9,
0301-52/7/0/0,,,Eiendoms- og byfornyelsesetaten,,108748.7,
0301-52/8/0/0,,,Eiendoms- og byfornyelsesetaten,,1594.7,
0301-53/12/0/0,,,Eiendoms- og byfornyelsesetaten,,2139.8,
0301-53/131/0/0,,,Eiendoms- og byfornyelsesetaten,,57.8,
0301-53/145/0/0,,,Eiendoms- og byfornyelsesetaten,,1874.1,
0301-53/174/0/0,,,Eiendoms- og byfornyelsesetaten,,1377.6,
0301-53/2/0/0,,,Eiendoms- og byfornyelsesetaten,Stubberud,338798.6,
0301-53/253/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-53/262/0/0,,,Eiendoms- og byfornyelsesetaten,Slettet i grunnboka 1.04.04,2418.6,
0301-53/3/0/0,,,Eiendoms- og byfornyelsesetaten,Brenningen,54990.0,
0301-53/310/0/0,,,Eiendoms- og byfornyelsesetaten,,10575.0,
0301-53/311/0/0,,,Eiendoms- og byfornyelsesetaten,,6982.4,
0301-53/323/0/0,,,Eiendoms- og byfornyelsesetaten,,347.5,
0301-53/348/0/0,,,Eiendoms- og byfornyelsesetaten,,142.7,
0301-53/35/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-53/372/0/0,,,Eiendoms- og byfornyelsesetaten,"Ikke tinglyst veigrunn, se merknad",186.6,
0301-53/373/0/0,,,Eiendoms- og byfornyelsesetaten,Slettet i grunnboka 1.4.04,2647.4,
0301-53/379/0/0,,,Eiendoms- og byfornyelsesetaten,,7067.2,
0301-53/38/0/0,,,Eiendoms- og byfornyelsesetaten,,252.8,
0301-53/380/0/0,,,Eiendoms- og byfornyelsesetaten,,1374.0,
0301-53/383/0/0,,,Eiendoms- og byfornyelsesetaten,"Ikke tinglyst veigrunn,se merkn.",523.3,
0301-53/385/0/0,,,Eiendoms- og byfornyelsesetaten,"Ikke tinglyst veigrunn, se merknad",2718.0,
0301-53/402/0/0,,,Eiendoms- og byfornyelsesetaten,,1428.1,
0301-53/438/0/0,,,Eiendoms- og byfornyelsesetaten,"Veigr.claus borchsvei,se merkn",339.1,
0301-53/439/0/0,,,Eiendoms- og byfornyelsesetaten,,133.0,
0301-53/467/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,9326.4,
0301-53/480/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,2578.6,
0301-53/481/0/0,,,Eiendoms- og byfornyelsesetaten,Friareal-lekeplass,1140.5,
0301-53/482/0/0,,,Eiendoms- og byfornyelsesetaten,,1495.8,
0301-53/483/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tgl.veigr.(av ureg.gr),10847.3,
0301-53/488/0/0,,,Eiendoms- og byfornyelsesetaten,,418.8,
0301-53/54/0/0,,,Eiendoms- og byfornyelsesetaten,,3192.7,
0301-53/6/0/0,,,Eiendoms- og byfornyelsesetaten,,24584.6,
0301-53/7/0/0,,,Eiendoms- og byfornyelsesetaten,,4999.9,
0301-53/74/0/0,,,Eiendoms- og byfornyelsesetaten,,658.8,
0301-53/90/0/0,,,Eiendoms- og byfornyelsesetaten,,1122.7,
0301-533/2/0/0,,,Eiendoms- og byfornyelsesetaten,Underjord.volum- se merkn.,,
0301-54/102/0/0,Vinkelveien 7C,Nordre Aker,Eiendoms- og byfornyelsesetaten,,1887.9,
0301-54/107/0/0,,,Eiendoms- og byfornyelsesetaten,,377.0,
0301-54/166/0/0,,,Eiendoms- og byfornyelsesetaten,,165.5,
